No.,ジャンル,日本語,タイ語読み,タイ語文字
80,いろいろな職業,エンジニア・技術者,wít sa wáʔ kɔɔn,วิศวกร
80,いろいろな職業,コック,kúk,กุ๊ก
80,いろいろな職業,コンサルタント・相談役,thîi prɯ̀k sǎa,ที่ปรึกษา
80,いろいろな職業,専門家,phûu chîaw chaan,ผู้เชี่ยวชาญ
80,いろいろな職業,秘書,lee khǎa núʔ kaan,เลขานุการ
80,いろいろな職業,責任者,phûu ráp phìt chɔ̂ɔp,ผู้รับผิดชอบ
80,いろいろな職業,支配人・マネージャー,phûu càt kaan,ผู้จัดการ
80,いろいろな職業,社長,pra thaan bɔɔ rí sàt,ประธานบริษัท
80,いろいろな職業,理事,phûu ʔam nuay kaan,ผู้อำนวยการ
80,いろいろな職業,政治家,nák kaan mɯaŋ,นักการเมือง
81,政治に関する言葉,政治,kaan mɯaŋ,การเมือง
81,政治に関する言葉,政府,rát tha baan,รัฐบาล
81,政治に関する言葉,国会・国会議事堂,rát thà sa phaa,รัฐสภา
81,政治に関する言葉,憲法,rát thà tham má nuun,รัฐธรรมนูญ
81,政治に関する言葉,大臣,rát thà mon trii,รัฐมนตรี
81,政治に関する言葉,首相,naa yók rát thà mon trii,นายกรัฐมนตรี
81,政治に関する言葉,大統領,pra thaa naa thíp bɔɔ dii,ประธานาธิบดี
81,政治に関する言葉,大使館,sa thǎan thûut,สถานทูต
81,政治に関する言葉,予算,ŋóp pra maan,งบประมาณ
81,政治に関する言葉,国民・民衆,pra chaa chon,ประชาชน
81,政治に関する言葉,社会,sǎŋ khom,สังคม
81,政治に関する言葉,民主主義,pra chaa thíp pà tay,ประชาธิปไตย
81,政治に関する言葉,経済,sèet thà kìt,เศรษฐกิจ
81,政治に関する言葉,出入国管理事務所,kɔɔŋ trùat khon kâw mɯɯŋ,กองตรวจคนเข้าเมือง
81,政治に関する言葉,政策,ná yoo baay,นโยบาย
81,政治に関する言葉,公害,sǎa thaa rá ná phay,สาธารณภัย
81,政治に関する言葉,戦争,sǒŋ khraam,สงคราม
81,政治に関する言葉,難民,phûu líi phay,ผู้ลี้ภัย
81,政治に関する言葉,クーデター,pà tìʔ wát,ปฏิวัติ
81,政治に関する言葉,秩序・規律,ráʔ bìap,ระเบียบ
81,政治に関する言葉,平和,sǎn tìʔ phâap,สันติภาพ
82,宗教について,宗教,sàat sa nǎa,ศาสนา
82,宗教について,神様,phrá câw,พระเจ้า
82,宗教について,仏教,phút tháʔ sàat sa nǎa,พุทธศาสนา
82,宗教について,キリスト教,sàat sa nǎa khrít,ศาสนาคริสต์
82,宗教について,バラモン教,sàa sa nǎa phraam,ศาสนาพราหมณ์
82,宗教について,キリスト教の教会,bòot khrít,โบสถ์คริสต์
82,宗教について,イスラム教,sàat sa nǎa ʔìt sa laam,ศาสนาอิสลาม
82,宗教について,モスク,sùʔ ràw,สุเหร่า
82,宗教について,祈る,ʔà thít thǎan,อธิษฐาน
82,宗教について,仏様,phrá phút tháʔ câw,พระพุทธเจ้า
82,宗教について,寺,wát,วัด
82,宗教について,僧侶・お坊様,phráʔ,พระ
82,宗教について,仏像,phrá phúʔ thót thá rûup,พระพุทธรูป
82,宗教について,出家する,bùat,บวช
82,宗教について,還俗する,sɯ̀k,สึก
82,宗教について,尼さん,mɛ̂ɛ chii,แม่ชี
82,宗教について,パゴダ,phrá cee dii,พระเจดีย์
82,宗教について,占師,mɔ̌ɔ duu,หมอดู
82,宗教について,国王,phráʔ má hǎa kee sàt ríʔ,พระมหาเกษัตริย์
82,宗教について,皇帝・日本の天皇,càk kɔɔn phɔɔn dìʔ,จักกรพรรดิ
82,宗教について,神社・祠,sǎan câw,ศาลเจ้า
83,ミーティングで,会議・ミーティング,pra chum,ประชุม
83,ミーティングで,ミーティングをする,pra chum kan,ประชุมกัน
83,ミーティングで,提出する,yɯ̂ɯn,ยื่น
83,ミーティングで,提案する,sa nə̌ə,เสนอ
83,ミーティングで,意見,khwaam hěn,ความเห็น
83,ミーティングで,考え方・意見,khwaam khít,ความคิด
83,ミーティングで,表明する,sa dɛɛŋ,แสดง
83,ミーティングで,発表（する）,pra kàat,ประกาศ
83,ミーティングで,報告（する）,raay ŋaan,รายงาน
83,ミーティングで,案・計画,phɛ̌ɛn kaan,แผนการ
83,ミーティングで,計画する,waaŋ phɛ̌ɛn,วางแผน
83,ミーティングで,タイトル・テーマ,hǔa khɔ̂ɔ,หัวข้อ
83,ミーティングで,批判する,wí caan,วิจารณ์
83,ミーティングで,冗談を言う,phûut lên,พูดเล่น
83,ミーティングで,不満を言う,bòn,บ่น
83,ミーティングで,反対する,khát kháan,คัดค้าน
83,ミーティングで,同意する,hěn dûay,เห็นด้วย
83,ミーティングで,要求する,ree  krɔ̂ɔ,เรัยกร้อง
83,ミーティングで,支持する,sa nàp sa nǔn,สนับสนุน
83,ミーティングで,決定する,tàt sǐn,ตัดสิน
83,ミーティングで,許可する,ʔà núʔ yâat,อนุญาต
84,産業の発展,技術,thék noo loo yii,เทคโนโลยี
84,産業の発展,工業、産業,ʔùt sǎa hàʔ kam,อุตสาหกรรม
84,産業の発展,工場,rooŋ ŋaan,โรงงาน
84,産業の発展,生産する,phàʔ lìt,ผลิต
84,産業の発展,資源,sáp phá yaa kɔɔn,ทรัพยากร
84,産業の発展,天然資源,sáp phá yaa kɔɔn tham má châat,ทรัพยากรธรรมชาติ
84,産業の発展,原料,wát thùʔ dìp,วัตถุดิบ
84,産業の発展,錫,dii bùk,ดีบุก
84,産業の発展,原子,pà rá maa nuu,ปรมาณู
84,産業の発展,プラスチック・ビニール,phlâat tìk,พลาสติก
84,産業の発展,エネルギー,phá laŋ ŋaan,พลังงาน
84,産業の発展,ダム,khɯ̀an,เขื่อน
84,産業の発展,機械,khrɯ̂aŋ,เครื่อง
84,産業の発展,ガソリン,nám man,น้ำมัน
84,産業の発展,ガス,kɛ́ɛt,แก๊ส
84,産業の発展,部品,sùan pra kɔ̀ɔp,ส่วนประกอบ
84,産業の発展,プロジェクト,khrooŋ kaan,โครงการ
84,産業の発展,コンピューター,khɔɔm phiw təə,คอมพิวเตอร์
84,産業の発展,発展する・開発する,phát thá naa,พัฒนา
84,産業の発展,進歩する,kâaw nâa,ก้าวหน้า
84,産業の発展,繁栄する,cà rəən,เจริญ
85,文化と交流 ,文化,wát tha ná tham,วัฒนธรรม
85,文化と交流 ,影響,ʔìt thíʔ phon,อิทธิพล
85,文化と交流 ,文明,ʔaa rá yá tham,อารยธรรม
85,文化と交流 ,国際連合,ʔoŋ kaan sa hà pra chaa châat,องค์การสหประชาชาติ
85,文化と交流 ,環境,sìŋ wɛ̂ɛt lɔ́ɔm,สิ่งแวดล้อม
85,文化と交流 ,マスコミ,sɯ̀ɯ sǎan muan chon,สื่อสารมวลชน
85,文化と交流 ,センター,sǔun klaaŋ,ศูนย์กลาง
85,文化と交流 ,セミナー,sǎm má naa,สัมมนา
85,文化と交流 ,関係,khwaam sǎm phan,ความสัมพันธ์
85,文化と交流 ,協会,sa maa khom,สมาคม
85,文化と交流 ,道徳,sǐin lá tham,ศีลธรรม
85,文化と交流 ,公平（な）,yút tìʔ tham,ยุติธรรม
85,文化と交流 ,人工衛星,daaw thiam,ดาวเทียม
85,文化と交流 ,経験,pra sòp kaan,ประสบการณ์
85,文化と交流 ,習慣・風習,pra phee nii,ประเพณี
85,文化と交流 ,人口,pra chaa kɔɔn,ประชากร
85,文化と交流 ,役割,bòt bàat,บทบาท
85,文化と交流 ,自然・天然,tham má châat,ธรรมชาติ
85,文化と交流 ,お祭り,thêet sa kaan,เทศกาล
85,文化と交流 ,発展途上国,pra thêet kam laŋ phát thá naa,ประเทศกำลังพัฒนา
85,文化と交流 ,先進国,pra thêet phát thá naa lɛ́ɛw,ประเทศพัฒนาแล้ว
